tex_file,line,raw_path,exists,width_px,height_px,aspect_ratio,aspect_ok,resolved_path
07_paper/ieee_twc_isac_nd/main.tex,69,../../06_analysis/paper_figures/concept/system_model_isac_uav_swarm.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\concept\system_model_isac_uav_swarm.png
07_paper/ieee_twc_isac_nd/main.tex,233,../../06_analysis/paper_figures/concept/protocol_mechanism_itap_nd.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\concept\protocol_mechanism_itap_nd.png
07_paper/ieee_twc_isac_nd/main.tex,253,../../06_analysis/paper_figures/concept/policy_architecture_shared_agent.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\concept\policy_architecture_shared_agent.png
07_paper/ieee_twc_isac_nd/main.tex,317,../../06_analysis/paper_figures/marl/p10_gate_training_3seed_100ep_step_curves/marl_step_reward_curve.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\marl\p10_gate_training_3seed_100ep_step_curves\marl_step_reward_curve.png
07_paper/ieee_twc_isac_nd/main.tex,394,../../06_analysis/paper_figures/marl/p10_final_b10_b15_method_comparison_with_v4/marl_method_comparison_collision_penalized_discovery_rate.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\marl\p10_final_b10_b15_method_comparison_with_v4\marl_method_comparison_collision_penalized_discovery_rate.png
07_paper/ieee_twc_isac_nd/main.tex,401,../../06_analysis/paper_figures/marl/p10_gate_family_v2_v3_v4_tradeoff_comparison/seed_tradeoff_lambda2_mean.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\marl\p10_gate_family_v2_v3_v4_tradeoff_comparison\seed_tradeoff_lambda2_mean.png
07_paper/ieee_twc_isac_nd/main.tex,415,../../06_analysis/paper_figures/round5_mobility_transfer/mobility_discovery_n100_b10.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round5_mobility_transfer\mobility_discovery_n100_b10.png
07_paper/ieee_twc_isac_nd/main.tex,437,../../06_analysis/paper_figures/round3_robustness/range_gain_discovery_n100_b10.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round3_robustness\range_gain_discovery_n100_b10.png
07_paper/ieee_twc_isac_nd/main.tex,451,../../06_analysis/paper_figures/round3_robustness/error_profile_discovery_n100_b10.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round3_robustness\error_profile_discovery_n100_b10.png
07_paper/ieee_twc_isac_nd/main.tex,469,../../06_analysis/paper_figures/round4_delay_ablation/ablation_discovery_n100_b10.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round4_delay_ablation\ablation_discovery_n100_b10.png
07_paper/ieee_twc_isac_nd/supplement.tex,72,../../06_analysis/paper_figures/marl/p10_gate_training_3seed_100ep_step_curves/marl_step_reward_curve.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\marl\p10_gate_training_3seed_100ep_step_curves\marl_step_reward_curve.png
07_paper/ieee_twc_isac_nd/supplement.tex,74,../../06_analysis/paper_figures/marl/p10_gate_training_3seed_100ep_step_curves/marl_episode_return_curve.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\marl\p10_gate_training_3seed_100ep_step_curves\marl_episode_return_curve.png
07_paper/ieee_twc_isac_nd/supplement.tex,86,../../06_analysis/paper_figures/round7_scale_beam_grid_light/density_heatmap_proposed_discovery_rate.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round7_scale_beam_grid_light\density_heatmap_proposed_discovery_rate.png
07_paper/ieee_twc_isac_nd/supplement.tex,88,../../06_analysis/paper_figures/round7_scale_beam_grid_light/density_node_count_discovery_rate_b10.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round7_scale_beam_grid_light\density_node_count_discovery_rate_b10.png
07_paper/ieee_twc_isac_nd/supplement.tex,95,../../06_analysis/paper_figures/round3_n100_transfer/area_scale_n100_discovery_rate.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round3_n100_transfer\area_scale_n100_discovery_rate.png
07_paper/ieee_twc_isac_nd/supplement.tex,97,../../06_analysis/paper_figures/round3_n100_transfer/area_scale_n100_lambda2.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round3_n100_transfer\area_scale_n100_lambda2.png
07_paper/ieee_twc_isac_nd/supplement.tex,129,../../06_analysis/paper_figures/round3_robustness/range_gain_discovery_n100_b10.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round3_robustness\range_gain_discovery_n100_b10.png
07_paper/ieee_twc_isac_nd/supplement.tex,131,../../06_analysis/paper_figures/round6_slot_duration_sensitivity/slot_duration_discovery_n100_b10.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round6_slot_duration_sensitivity\slot_duration_discovery_n100_b10.png
07_paper/ieee_twc_isac_nd/supplement.tex,133,../../06_analysis/paper_figures/round3_robustness/range_gain_lambda2_n100_b10.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round3_robustness\range_gain_lambda2_n100_b10.png
07_paper/ieee_twc_isac_nd/supplement.tex,135,../../06_analysis/paper_figures/round6_slot_duration_sensitivity/slot_duration_collision_penalized_n100_b10.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round6_slot_duration_sensitivity\slot_duration_collision_penalized_n100_b10.png
07_paper/ieee_twc_isac_nd/supplement.tex,148,../../06_analysis/paper_figures/round7_scale_beam_grid_light/density_beamwidth_discovery_rate_n100.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round7_scale_beam_grid_light\density_beamwidth_discovery_rate_n100.png
07_paper/ieee_twc_isac_nd/supplement.tex,150,../../06_analysis/paper_figures/round7_scale_beam_grid_light/density_beamwidth_collision_penalized_discovery_n100.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round7_scale_beam_grid_light\density_beamwidth_collision_penalized_discovery_n100.png
07_paper/ieee_twc_isac_nd/supplement.tex,152,../../06_analysis/paper_figures/round7_scale_beam_grid_light/density_beamwidth_lambda2_n100.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round7_scale_beam_grid_light\density_beamwidth_lambda2_n100.png
07_paper/ieee_twc_isac_nd/supplement.tex,181,../../06_analysis/paper_figures/round9_n100_b3_full_baselines_600slot/n100_b3_full_baselines_discovery.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round9_n100_b3_full_baselines_600slot\n100_b3_full_baselines_discovery.png
07_paper/ieee_twc_isac_nd/supplement.tex,183,../../06_analysis/paper_figures/round9_n100_b3_full_baselines_600slot/n100_b3_full_baselines_empty_scan.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round9_n100_b3_full_baselines_600slot\n100_b3_full_baselines_empty_scan.png
07_paper/ieee_twc_isac_nd/supplement.tex,195,../../06_analysis/paper_figures/round8_n100_multimobility_full_baseline/full_baseline_discovery_n100_b10.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round8_n100_multimobility_full_baseline\full_baseline_discovery_n100_b10.png
07_paper/ieee_twc_isac_nd/supplement.tex,197,../../06_analysis/paper_figures/round8_n100_multimobility_full_baseline/full_baseline_discovery_n100_b15.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round8_n100_multimobility_full_baseline\full_baseline_discovery_n100_b15.png
07_paper/ieee_twc_isac_nd/supplement.tex,228,../../06_analysis/paper_figures/round8_error_profiles_b15_gm_rw_600slot/error_profile_discovery_n100_b15.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round8_error_profiles_b15_gm_rw_600slot\error_profile_discovery_n100_b15.png
07_paper/ieee_twc_isac_nd/supplement.tex,230,../../06_analysis/paper_figures/round8_error_profiles_b15_gm_rw_600slot/ablation_collision_penalized_discovery_n100_b15.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round8_error_profiles_b15_gm_rw_600slot\ablation_collision_penalized_discovery_n100_b15.png
07_paper/ieee_twc_isac_nd/supplement.tex,243,../../06_analysis/paper_figures/pre11_evidence/round10_cumulative_discovery_b10.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\pre11_evidence\round10_cumulative_discovery_b10.png
07_paper/ieee_twc_isac_nd/supplement.tex,245,../../06_analysis/paper_figures/pre11_evidence/round10_cumulative_discovery_b15.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\pre11_evidence\round10_cumulative_discovery_b15.png
07_paper/ieee_twc_isac_nd/supplement.tex,259,../../06_analysis/paper_figures/round15_long_horizon_3000slot/round15_horizon_discovery_600_vs_3000.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round15_long_horizon_3000slot\round15_horizon_discovery_600_vs_3000.png
07_paper/ieee_twc_isac_nd/supplement.tex,261,../../06_analysis/paper_figures/round15_long_horizon_3000slot/round15_collision_penalized.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round15_long_horizon_3000slot\round15_collision_penalized.png
07_paper/ieee_twc_isac_nd/supplement.tex,263,../../06_analysis/paper_figures/round15_long_horizon_3000slot/round15_cumulative_discovery_b10.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round15_long_horizon_3000slot\round15_cumulative_discovery_b10.png
07_paper/ieee_twc_isac_nd/supplement.tex,265,../../06_analysis/paper_figures/round15_long_horizon_3000slot/round15_cumulative_discovery_b15.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round15_long_horizon_3000slot\round15_cumulative_discovery_b15.png
07_paper/ieee_twc_isac_nd/supplement.tex,276,../../06_analysis/paper_figures/pre11_evidence/round10_tradeoff_discovery_rate.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\pre11_evidence\round10_tradeoff_discovery_rate.png
07_paper/ieee_twc_isac_nd/supplement.tex,278,../../06_analysis/paper_figures/pre11_evidence/round10_tradeoff_collision_penalized.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\pre11_evidence\round10_tradeoff_collision_penalized.png
07_paper/ieee_twc_isac_nd/supplement.tex,280,../../06_analysis/paper_figures/pre11_evidence/round10_tradeoff_lambda2.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\pre11_evidence\round10_tradeoff_lambda2.png
07_paper/ieee_twc_isac_nd/supplement.tex,282,../../06_analysis/paper_figures/pre11_evidence/round10_tradeoff_empty_scan.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\pre11_evidence\round10_tradeoff_empty_scan.png
07_paper/ieee_twc_isac_nd/supplement.tex,297,../../06_analysis/paper_figures/round11_paired_seed_campaign_main/round11_discovery_rate.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round11_paired_seed_campaign_main\round11_discovery_rate.png
07_paper/ieee_twc_isac_nd/supplement.tex,299,../../06_analysis/paper_figures/round11_paired_seed_campaign_main/round11_collision_penalized.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round11_paired_seed_campaign_main\round11_collision_penalized.png
07_paper/ieee_twc_isac_nd/supplement.tex,315,../../06_analysis/paper_figures/round13_collision_energy_10seed/round13_collision_penalized.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round13_collision_energy_10seed\round13_collision_penalized.png
07_paper/ieee_twc_isac_nd/supplement.tex,317,../../06_analysis/paper_figures/round13_collision_energy_10seed/round13_collision_count.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round13_collision_energy_10seed\round13_collision_count.png
07_paper/ieee_twc_isac_nd/supplement.tex,332,../../06_analysis/paper_figures/round13_collision_energy_10seed/round13_discoveries_per_joule.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round13_collision_energy_10seed\round13_discoveries_per_joule.png
07_paper/ieee_twc_isac_nd/supplement.tex,334,../../06_analysis/paper_figures/round13_collision_energy_10seed/round13_energy_per_discovery.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\round13_collision_energy_10seed\round13_energy_per_discovery.png
07_paper/ieee_twc_isac_nd/supplement.tex,373,../../06_analysis/figures/marl/p10_learned_component_ablation_b10_3ep/learned_ablation_b10_discovery_efficiency.png,True,1536,1152,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\figures\marl\p10_learned_component_ablation_b10_3ep\learned_ablation_b10_discovery_efficiency.png
07_paper/ieee_twc_isac_nd/supplement.tex,375,../../06_analysis/figures/marl/p10_learned_component_ablation_b10_3ep/learned_ablation_b10_collision_tradeoff.png,True,1536,1152,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\figures\marl\p10_learned_component_ablation_b10_3ep\learned_ablation_b10_collision_tradeoff.png
07_paper/ieee_twc_isac_nd/supplement.tex,403,../../06_analysis/paper_figures/structured_marl_probe/marl_eval_discovery_rate.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\structured_marl_probe\marl_eval_discovery_rate.png
07_paper/ieee_twc_isac_nd/supplement.tex,405,../../06_analysis/paper_figures/structured_marl_probe/marl_eval_empty_scan_ratio.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\structured_marl_probe\marl_eval_empty_scan_ratio.png
07_paper/ieee_twc_isac_nd/supplement.tex,407,../../06_analysis/paper_figures/structured_marl_probe/marl_empty_collision_tradeoff.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\structured_marl_probe\marl_empty_collision_tradeoff.png
07_paper/ieee_twc_isac_nd/supplement.tex,414,../../06_analysis/paper_figures/structured_marl_probe/marl_bc_loss_curve.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\structured_marl_probe\marl_bc_loss_curve.png
07_paper/ieee_twc_isac_nd/supplement.tex,416,../../06_analysis/paper_figures/structured_marl_probe/marl_reward_curve.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\structured_marl_probe\marl_reward_curve.png
07_paper/ieee_twc_isac_nd/supplement.tex,418,../../06_analysis/paper_figures/structured_marl_probe/marl_rule_residual_scale_sweep.png,True,1920,1440,1.333333,True,C:\Users\沈高青\Documents\通感一体化辅助的窄波束邻居发现方法研究\06_analysis\paper_figures\structured_marl_probe\marl_rule_residual_scale_sweep.png
