parameter,value,samples,edge_coverage_rate,edge_coverage_ci95_low,edge_coverage_ci95_high,mid_coverage_rate,mid_coverage_ci95_low,mid_coverage_ci95_high,equal_power_decode_rate,equal_power_decode_ci95_low,equal_power_decode_ci95_high,near_far_capture_rate,near_far_capture_ci95_low,near_far_capture_ci95_high,one_sided_interference_survival_rate,one_sided_interference_survival_ci95_low,one_sided_interference_survival_ci95_high,edge_snr_mean_db,edge_snr_p10_db,edge_snr_p50_db
path_loss_exponent,1.8,20000,0.99995,0.9997168094297738,0.9999911737177268,1.0,0.9998079639438954,0.9999999999999999,0.2055,0.1999568334383153,0.21115627579873028,0.86575,0.8609548611253407,0.8704046644996187,0.9992,0.9987007797717246,0.9995074914298606,22.41613928015463,18.77251379396545,22.536482194766716
path_loss_exponent,2.0,20000,0.99775,0.99699090398009,0.9983179241260579,0.99995,0.9997168094297738,0.9999911737177268,0.19785,0.19238710696551048,0.20342894042319348,0.9137,0.9097284089790405,0.9175127003881385,0.9963,0.9953579410940695,0.997051443916641,13.939018025434997,10.295392539245816,14.059360940047085
path_loss_exponent,2.1,20000,0.94755,0.9443735225706551,0.9505545859555256,0.9984,0.9977422157210755,0.9988663627381994,0.1846,0.17928381440697477,0.19003732193721595,0.9307,0.927096965031469,0.9341376151098023,0.98655,0.9848575416307004,0.9880555880831043,9.700457398075153,6.0568319118859755,9.820800312687243
path_loss_exponent,2.2,20000,0.5797,0.5728444156409448,0.5865249738117121,0.9714,0.9689979058368616,0.9736210425694429,0.1529,0.14797894498685876,0.15795436644328903,0.9439,0.9406247533720988,0.9470047570172915,0.9287,0.925050785222558,0.9321845630629377,5.461896770715308,1.8182712845261162,5.5822396853274014
path_loss_exponent,2.5,20000,0.0,0.0,0.00019203605610462553,0.00845,0.007272427046783346,0.009816363599973111,0.0015,0.0010509490721859378,0.002140510875750374,0.90815,0.9040685519360424,0.9120746890313595,0.007,0.005935447417358108,0.008253900133961052,-7.253785111364172,-10.897410597553355,-7.133442196752069
path_loss_exponent,3.0,20000,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,-28.446588248163344,-32.09021373435252,-28.326245333551263
rician_k_db,0.0,20000,0.7605,0.7545355936769924,0.766364355537777,0.9227,0.9189170017858254,0.9263206509323437,0.44145,0.43458005041608344,0.4483424370060864,0.7985,0.7928837694987454,0.80400158497576,0.8607,0.8558318724321381,0.8654295927569879,8.072857265476797,1.0230332530829194,8.870330807014373
rician_k_db,5.0,20000,0.85175,0.8467576845513433,0.8566072180831871,0.97195,0.9695694491571426,0.9741492880095001,0.32705,0.3205819826195245,0.3335844426522821,0.8613,0.8564404310702385,0.8660208036756203,0.92895,0.9253065126077192,0.9324287396597487,8.955953300183799,3.795570340950075,9.397171576031104
rician_k_db,10.0,20000,0.94565,0.9424216139980603,0.9487072242651335,0.99805,0.9973355771743122,0.9985731357102019,0.18575,0.18042068062704733,0.1912000140342144,0.93295,0.9293999294961303,0.9363337864828886,0.9849,0.9831143601298947,0.986499403302895,9.694114112825275,6.072636864043374,9.79878421181192
rician_k_db,13.3,20000,0.9754,0.9731601695746815,0.9774572425431743,0.9999,0.9996354263863794,0.9999725759647273,0.12535,0.1208328825860412,0.13001101003079796,0.95945,0.9566269781075977,0.9620965599604477,0.99655,0.9956365177601437,0.9972727712325388,9.911912041198102,6.830302230724617,9.94342022988437
rician_k_db,22.0,20000,0.9935,0.9922875978181341,0.9945228625944907,1.0,0.9998079639438954,0.9999999999999999,0.0738,0.07025789118506955,0.07750580034915404,0.9786,0.9765005871393807,0.980515595947716,0.9994,0.9989514644540893,0.9996567299330732,10.085601948090124,7.472058738249334,10.07785868030551
shadowing_std_db,0.0,20000,0.978,0.9758734404933204,0.9799429730370436,0.99925,0.9987628321888334,0.9995454198091459,0.05895,0.055769677717666805,0.06229971728742309,0.9796,0.9775467518026658,0.9814690472123188,0.99625,0.9953023427981026,0.9970070614162135,9.682345994007465,7.082816624366802,9.904395114335612
shadowing_std_db,2.0,20000,0.9465,0.943294700507863,0.9495338112940356,0.99805,0.9973355771743122,0.9985731357102019,0.1803,0.17503362284207122,0.18568916501220203,0.9312,0.9276086407416954,0.9346257473635201,0.98755,0.985916941471811,0.9889958041698814,9.67455918319628,6.031314509966228,9.785123165478238
shadowing_std_db,4.0,20000,0.85175,0.8467576845513433,0.8566072180831871,0.98145,0.9794854500067403,0.9832296384748367,0.3939,0.3871492865638147,0.4006914634872906,0.82405,0.8187106988919871,0.8292648425400514,0.92135,0.9175378281796489,0.9250003430358718,9.666772372385092,3.942865207254662,9.716896682741584
shadowing_std_db,6.0,20000,0.77025,0.7643683216388547,0.7760278828728208,0.9335,0.9299630447315304,0.9368704600078268,0.54215,0.5352377110156793,0.5490461003447912,0.73935,0.7332204776732959,0.7453875946666467,0.82885,0.8235671001969596,0.8340065976889404,9.658985561573902,1.588935921831638,9.684242677935199
shadowing_std_db,8.0,20000,0.71305,0.7067405850435813,0.7192775883929123,0.878,0.8733913985277776,0.8824634222138074,0.63065,0.6239367344350066,0.6373130865435332,0.68735,0.6808898615122334,0.6937381825775442,0.7492,0.7431450036828217,0.7551592855468158,9.651198750762713,-0.8776657607582098,9.689478266642627
sidelobe_gain_db,-30.0,20000,0.94835,0.9451957128155314,0.9513320884529596,0.9981,0.9973933437444168,0.9986153499364917,0.17725,0.1720196335009371,0.18260432577327837,0.9351,0.9316015858657201,0.9384313043582577,0.99855,0.9979183363699895,0.9989901844784685,9.69932784592184,6.068710818473187,9.823276039545084
sidelobe_gain_db,-20.0,20000,0.94835,0.9451957128155314,0.9513320884529596,0.9981,0.9973933437444168,0.9986153499364917,0.17725,0.1720196335009371,0.18260432577327837,0.9351,0.9316015858657201,0.9384313043582577,0.99825,0.9975672660559343,0.9987413700141574,9.69932784592184,6.068710818473187,9.823276039545084
sidelobe_gain_db,-10.0,20000,0.94835,0.9451957128155314,0.9513320884529596,0.9981,0.9973933437444168,0.9986153499364917,0.17725,0.1720196335009371,0.18260432577327837,0.9351,0.9316015858657201,0.9384313043582577,0.98685,0.9851751130264493,0.9883379014657215,9.69932784592184,6.068710818473187,9.823276039545084
sidelobe_gain_db,-5.0,20000,0.94835,0.9451957128155314,0.9513320884529596,0.9981,0.9973933437444168,0.9986153499364917,0.17725,0.1720196335009371,0.18260432577327837,0.9351,0.9316015858657201,0.9384313043582577,0.9103,0.9062605633298982,0.9141818518824624,9.69932784592184,6.068710818473187,9.823276039545084
sidelobe_gain_db,0.0,20000,0.94835,0.9451957128155314,0.9513320884529596,0.9981,0.9973933437444168,0.9986153499364917,0.17725,0.1720196335009371,0.18260432577327837,0.9351,0.9316015858657201,0.9384313043582577,0.58635,0.5795086534977112,0.5931581818753997,9.69932784592184,6.068710818473187,9.823276039545084
sinr_threshold_db,-5.0,20000,0.99985,0.9995590363727073,0.999948985182005,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.9953,0.9942523225551475,0.9961574465276751,0.99995,0.9997168094297738,0.9999911737177268,9.720609959567643,6.134283559062651,9.808801670639404
sinr_threshold_db,0.0,20000,0.9984,0.9977422157210755,0.9988663627381994,1.0,0.9998079639438954,0.9999999999999999,0.9674,0.9648476535416218,0.9697728311531316,0.99525,0.9941973537644435,0.9961124345219847,0.99965,0.9992776515467302,0.9998304468224045,9.720609959567643,6.134283559062651,9.808801670639404
sinr_threshold_db,5.0,20000,0.9498,0.9466864564116312,0.952740787952297,0.99825,0.9975672660559343,0.9987413700141574,0.1779,0.17266191098749678,0.18326179863984576,0.9328,0.9292463642591186,0.9361874093307171,0.98735,0.9857048684867288,0.9888079539693858,9.720609959567643,6.134283559062651,9.808801670639404
sinr_threshold_db,10.0,20000,0.47185,0.46493753984653763,0.478773271783421,0.947,0.943808382972445,0.9500199367933974,0.0086,0.007411318531531258,0.009977414504408368,0.5843,0.577454128074559,0.591113494646382,0.77635,0.7705223168347649,0.782071544837026,9.720609959567643,6.134283559062651,9.808801670639404
sinr_threshold_db,15.0,20000,0.0244,0.02235131113800684,0.026631353558559875,0.47135,0.46443802998408307,0.4782729736819317,0.00015,5.101481799495055e-05,0.0004409636272928435,0.13445,0.12979232634622817,0.13924807121438987,0.1813,0.17602194004975275,0.18670046373240828,9.720609959567643,6.134283559062651,9.808801670639404
tx_power_w,0.1,20000,0.02475,0.022686366616716806,0.026996163654610637,0.47135,0.46443802998408307,0.4782729736819317,0.0533,0.050271729340798946,0.056499835671724924,0.9024,0.8982094047220216,0.9064360446600254,0.4253,0.41846323997585333,0.4321654502109288,-0.2835711640877199,-3.9077049016561762,-0.20135899340452434
tx_power_w,0.25,20000,0.3288,0.32232275939790256,0.3353429937477076,0.90325,0.8990752550707924,0.9072698678499592,0.11935,0.11492983646117472,0.12391636058833772,0.9218,0.9179975164028309,0.9254404819802391,0.8532,0.8482273721087149,0.8580369736212526,3.695828922632656,0.07169518506420026,3.778041093315852
tx_power_w,0.5,20000,0.73635,0.7301985754284503,0.7424106491278288,0.98445,0.982639883160256,0.9860740531049844,0.15685,0.15187598232536742,0.16195581201993714,0.92745,0.9237723375039528,0.9309634908716833,0.96005,0.957246298317318,0.9626770093074599,6.706128879272468,3.0819951417040126,6.788341049955664
tx_power_w,1.0,20000,0.94985,0.9467378736624688,0.9527893514978538,0.9981,0.9973933437444168,0.9986153499364917,0.1789,0.1736500812398752,0.1842732443153552,0.93065,0.927045800374413,0.9340887989704639,0.98795,0.986341393105563,0.9893711989072845,9.71642883591228,6.092295098343824,9.798641006595476
tx_power_w,2.0,20000,0.99275,0.9914759160750153,0.9938348323916937,0.99965,0.9992776515467302,0.9998304468224045,0.1907,0.1853150302546302,0.1962037632496761,0.93225,0.9286833340559937,0.9356506507735038,0.9948,0.9937037695273032,0.9957061915915757,12.726728792552091,9.102595054983636,12.808940963235287
