method,method_label,train_algorithm,train_network,train_reward_version,env_protocol,phase,node_count,beamwidth_deg,beam_count,slots_per_episode,communication_range_m,sensing_range_m,eval_n,episodes,run_n,discovery_rate_mean,discovery_rate_std,discovery_rate_ci95,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,collision_penalized_discovery_rate_ci95,mean_delay_censored_mean,mean_delay_censored_std,mean_delay_censored_ci95,p95_delay_censored_mean,p95_delay_censored_std,p95_delay_censored_ci95,empty_scan_ratio_mean,empty_scan_ratio_std,empty_scan_ratio_ci95,lambda2_mean,lambda2_std,lambda2_ci95,largest_component_size_mean,largest_component_size_std,largest_component_size_ci95,lcc_ratio_mean,lcc_ratio_std,lcc_ratio_ci95,isolated_node_ratio_mean,isolated_node_ratio_std,isolated_node_ratio_ci95,collision_count_mean,collision_count_std,collision_count_ci95,collisions_per_discovery_censored_mean,collisions_per_discovery_censored_std,collisions_per_discovery_censored_ci95,discoveries_per_1000_scan_actions_mean,discoveries_per_1000_scan_actions_std,discoveries_per_1000_scan_actions_ci95,discoveries_per_joule_mean,discoveries_per_joule_std,discoveries_per_joule_ci95,checkpoint_tag,plot_order
uniform_random,Uniform,protocol_baseline,uniform_random,none,uniform_random,eval_stochastic,100,10.0,648,3000,900.0,900.0,10,10,1,0.0027878787878787,0.0009321188672322,0.0005777332594121,0.0027878787878787,0.0009321188672322,0.0005777332594121,2995.763292929293,1.907477248536364,1.182266647303894,3000.0,0.0,0.0,0.9021039995300296,0.0022093352347336,0.0013693601654977,-1.7678310511619908e-16,2.9279424731706005e-16,1.8147575463404463e-16,3.7,0.8232726023485646,0.510269645492568,0.037,0.0082327260234856,0.0051026964549256,0.764,0.0661983551323008,0.0410301655966544,0.0,0.0,0.0,0.0,0.0,0.0,0.0541310686953705,0.018122470992505,0.011232423892663,0.0106931987148243,0.0035738166112084,0.0022150744845079,phase9_baseline,0
skyorbs_like,SkyOrbs-like,protocol_baseline,skyorbs_like,none,skyorbs_like_skip_scan,eval_stochastic,100,10.0,648,3000,900.0,900.0,10,10,1,0.003090909090909,0.0008730867613932,0.0005411447811447,0.003090909090909,0.0008730867613932,0.0005411447811447,2995.011434343434,1.5342835192808604,0.9509587774877316,3000.0,0.0,0.0,0.9022843333333332,0.002091608778895,0.0012963925522011,-3.816592718834423e-16,3.9236233605317023e-16,2.4318869539851394e-16,4.1,1.3703203194062976,0.8493333333333332,0.0409999999999999,0.0137032031940629,0.0084933333333333,0.7369999999999999,0.0648159788255265,0.0401733598849342,0.0,0.0,0.0,0.0,0.0,0.0,0.0509999999999999,0.0144059315629892,0.0089288888888888,0.0127499999999999,0.0036014828907473,0.0022322222222222,phase9_baseline,1
mappo_no_isac,MARL no ISAC,mappo,shared,legacy,structured_marl_no_isac,eval_stochastic,100,10.0,648,3000,900.0,900.0,10,10,1,0.0004848484848484,0.0002371288466216,0.0001469739818336,0.0004848484848484,0.0002371288466216,0.0001469739818336,2999.174484848485,0.5571852114727234,0.3453469719760119,3000.0,0.0,0.0,0.9018672476529914,0.0020915973819114,0.0012963854882774,0.0,0.0,0.0,2.0,0.4714045207910317,0.2921795490599725,0.0199999999999999,0.0047140452079103,0.0029217954905997,0.953,0.0231180545125329,0.0143287186369813,0.0,0.0,0.0,0.0,0.0,0.0,0.0215675679437561,0.0105210370576698,0.0065210063280575,0.0023278302441363,0.0011387256183661,0.000705789450468,phase9_baseline,2
contention_no_isac,Contention no ISAC,mappo,contention_shared,collision_topology,structured_marl_no_isac,eval_stochastic,100,10.0,648,3000,900.0,900.0,10,10,1,0.0007676767676767,0.0003785446282169,0.0002346243913527,0.0007676767676767,0.0003785446282169,0.0002346243913527,2998.5856363636367,0.884285054744223,0.548085555272332,3000.0,0.0,0.0,0.9018983402662302,0.0020915779773959,0.0012963734612341,0.0,0.0,0.0,2.1,0.3162277660168379,0.1959999999999999,0.0209999999999999,0.0031622776601683,0.0019599999999999,0.925,0.0374907395973399,0.0232370011452042,0.0,0.0,0.0,0.0,0.0,0.0,0.0245119596013654,0.0121017481660153,0.0075007412233772,0.0036492550175339,0.0018007275972901,0.00111610252798,phase9_baseline,3
contention_actor,MARL+ISAC actor,isac_mappo,contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,10.0,648,3000,900.0,900.0,10,10,1,0.3429090909090909,0.0086469471319278,0.0053594333578146,0.2262830389833648,0.0108213695432532,0.006707154331175,2304.538161616162,16.26963622819054,10.084025007960722,3000.0,0.0,0.0,0.054263433450183,0.0018085101441327,0.0011209262004878,14.381436830276732,1.5941499047079302,0.9880643476010178,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2563.7,338.4142924483736,209.75135155067136,1.5104483813950913,0.1970963484106111,0.1221615823780092,14.472512371463532,0.3795377644012757,0.2352399435370551,1.6097554892049764,0.0409757741342403,0.0253970479299514,phase9_baseline,4
gated_contention_actor_seed31,seed31,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,10.0,648,3000,900.0,900.0,10,10,1,0.3019797979797979,0.0138130220543632,0.0085613997681375,0.2353115394963504,0.0093081792509317,0.0057692692712045,2394.3924040404045,31.543775687270347,19.551034725950625,3000.0,0.0,0.0,0.0658655888954017,0.0021583561548028,0.0013377630043999,11.904327907733608,2.1139751687408537,1.3102553842509368,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1403.3,179.89876782976216,111.50241150157544,0.9381363639583024,0.1027153522224619,0.0636636348831258,16.111829423078564,0.8622157315376402,0.5344068470330944,1.480847481433294,0.0703968976225862,0.0436324491926247,seed31,5
gated_contention_actor_seed32,seed32,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,10.0,648,3000,900.0,900.0,10,10,1,0.3652525252525253,0.01028827534392,0.0063767391232209,0.1658322516710889,0.0071603374743248,0.0044380231459274,2245.0783434343434,21.696957378206505,13.447913507702667,3000.0,0.0,0.0,0.0496325242003194,0.0012869036823838,0.0007976311660558,17.442810001725768,1.3543190321678054,0.8394156327523619,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5965.8,443.0956254955958,274.6335139733192,3.300441245850142,0.2380300105824387,0.1475325290432398,12.950850538055354,0.391012912009702,0.2423523137111903,1.3475104799365218,0.0384640489224366,0.0238402645149008,seed32,6
gated_contention_actor_seed33,seed33,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,10.0,648,3000,900.0,900.0,10,10,1,0.3643636363636363,0.014647416664752,0.0090785629056321,0.2034662842011284,0.0086301312395887,0.0053490107597614,2242.700929292929,32.40509275661747,20.08488457638737,3000.0,0.0,0.0,0.0505758827332476,0.0021094414385054,0.0013074453491381,16.40724731765843,1.4290306378337758,0.8857223656967121,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3938.0,680.1071810955813,421.5347980785348,2.1746051138222007,0.2957440943546629,0.183304088770078,13.779641273294937,0.7611342837281445,0.4717559165970673,1.2868351566120806,0.0530056954988662,0.0328532704405994,seed33,7
gated_contention_actor_adaptive,adaptive,isac_mappo,adaptive_gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,10.0,648,3000,900.0,900.0,10,10,1,0.2203232323232322,0.0097910697977412,0.006068567932947,0.2026616147772684,0.0066638140837911,0.0041302747601028,2572.8780404040403,18.88383251577217,11.704320653785564,3000.0,0.0,0.0,0.1023994364277624,0.0028031876579944,0.0017374337107945,7.550575437691985,0.9631750308705136,0.5969820690589476,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,429.6,75.95642025383883,47.0782770193548,0.3920241432767926,0.0555682386247723,0.0344415511251325,18.40782394091696,0.9269659824656808,0.5745394683451021,1.7109356524583508,0.0807719767398337,0.0500629898519551,adaptive,8
gated_contention_actor_topology_v3,topology_v3,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,10.0,648,3000,900.0,900.0,10,10,1,0.345090909090909,0.0140121719565629,0.0086848341563406,0.1999613554019947,0.0090263999927762,0.0055946206775844,2290.3089292929294,27.878122352992545,17.279039250764573,3000.0,0.0,0.0,0.0567151061458717,0.0018684717781212,0.0011580908062711,14.051644190076036,2.8326352814489923,1.75568553690646,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3606.5,477.4902558633469,295.9515267366901,2.10815094750991,0.2463529474825938,0.1526911387788047,15.020849317179326,0.7190155919160872,0.4456504809512813,1.3825396192718913,0.0568774764622651,0.0352530251439412,topology_v3,9
uniform_random,Uniform,protocol_baseline,uniform_random,none,uniform_random,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.0129292929292928,0.0016982518805277,0.0010525874206938,0.0129283468516411,0.0016990046373263,0.0010530539841913,2981.155454545454,2.541296593789017,1.5751119474945974,3000.0,0.0,0.0,0.8365545214963517,0.0042384569156252,0.0026270228131021,-1.0930955012550443e-15,1.5732733563451415e-16,9.7512492886924e-17,38.8,16.49781130264793,10.225449384311236,0.388,0.1649781130264793,0.1022544938431124,0.2719999999999999,0.0610646287869572,0.037848249042136,0.4,1.2649110640673518,0.7839999999999999,0.0068965517241379,0.021808811449437,0.0135172413793103,0.2509309003803232,0.0329387061026802,0.020415621554818,0.049613966803506,0.0065171720153855,0.0040393850644587,phase9_baseline,0
skyorbs_like,SkyOrbs-like,protocol_baseline,skyorbs_like,none,skyorbs_like_skip_scan,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.0189696969696969,0.0019872737301514,0.0012317250190134,0.0189680977790831,0.0019864897735419,0.0012312391176728,2971.268808080808,3.943502535242291,2.4442081941227563,3000.0,0.0,0.0,0.8324043333333334,0.0037092007890955,0.0022989864673174,-1.033750502724658e-15,3.2390795403057006e-16,2.0076022984841672e-16,76.0,11.962905629950908,7.414685727962071,0.76,0.119629056299509,0.0741468572796207,0.147,0.0447337804249888,0.0277262843605926,0.4,0.8432740427115679,0.5226666666666667,0.0040922852072241,0.0086413192998755,0.0053559451913701,0.313,0.0327900165474979,0.020323462813722,0.0782499999999999,0.0081975041368744,0.0050808657034305,phase9_baseline,1
mappo_no_isac,MARL no ISAC,mappo,shared,legacy,structured_marl_no_isac,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.0022222222222221,0.0006097902449924,0.0003779519095491,0.0022222222222221,0.0006097902449924,0.0003779519095491,2996.954101010101,0.8538474106630338,0.5292201080187362,3000.0,0.0,0.0,0.8375762472346118,0.0031753041080668,0.0019680738760554,-1.404867594902498e-16,2.485909484142344e-16,1.5407826612731904e-16,3.1,1.100504934614612,0.6821000252488226,0.031,0.0110050493461461,0.0068210002524882,0.8019999999999999,0.0482585628556102,0.029910967145105,0.0,0.0,0.0,0.0,0.0,0.0,0.0987838508652134,0.026990457343321,0.0167288587777242,0.0106811097583277,0.002927078706411,0.0018142221781562,phase9_baseline,2
contention_no_isac,Contention no ISAC,mappo,contention_shared,collision_topology,structured_marl_no_isac,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.0043434343434343,0.0008792972967811,0.0005449941108584,0.0043434343434343,0.0008792972967811,0.0005449941108584,2993.472101010101,1.369504363065576,0.8488275983537776,3000.0,0.0,0.0,0.8373859685015848,0.0032500983621693,0.0020144318350314,-4.866647715285471e-16,3.576076898543312e-16,2.2164754251123166e-16,5.9,4.433458644845529,2.747886137055577,0.059,0.0443345864484552,0.0274788613705557,0.6519999999999999,0.0404969134626331,0.0251002470107367,0.0,0.0,0.0,0.0,0.0,0.0,0.1380964494948763,0.0281842874098908,0.0174688023190362,0.0209255383014332,0.0042662679709529,0.0026442602837799,phase9_baseline,3
contention_actor,MARL+ISAC actor,isac_mappo,contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.4232929292929294,0.0130386265274741,0.0080814244478736,0.1387384918988106,0.0106306895264267,0.0065889696323146,2083.250404040404,23.34489308676387,14.469314641909357,3000.0,0.0,0.0,0.0211072505169534,0.0007722677990165,0.0004786565408655,19.8887009453462,3.4370036389989824,2.130276925802685,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10226.9,1183.5063206891257,733.5448173223258,4.881996666666441,0.5527544251237306,0.3426007421450857,18.967271132935743,0.5978538994647699,0.3705536859431107,2.052716007796012,0.0646776370351662,0.0400876147549219,phase9_baseline,4
gated_contention_actor_seed31,seed31,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.3618383838383838,0.0085404888289995,0.0052934498180491,0.2113702926713012,0.0099070878658131,0.0061404766765356,2234.2104242424243,13.840806965288332,8.578621034346702,3000.0,0.0,0.0,0.0267541247237623,0.000747070088271,0.000463038837941,16.17301493741065,2.358352224454398,1.4617218526233071,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3535.0,314.5547117222482,194.9630302048741,1.9750756909977103,0.1836524479686734,0.113828966555528,23.159542078241568,0.6398345258042261,0.3965735477224059,1.8742729833057843,0.0460883417020621,0.028565850138293,seed31,5
gated_contention_actor_seed32,seed32,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.3936969696969696,0.0139736075509862,0.008660931690127,0.1106177930237489,0.0064568243009791,0.0040019811635532,2146.2984646464647,32.50467997871995,20.14660937613518,3000.0,0.0,0.0,0.0194778151717272,0.0005632613530831,0.0003491130035634,19.50427668642436,4.532254479347256,2.809120429686628,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12712.1,1064.8459930379083,659.9983842795039,6.524106232730134,0.4983981561856367,0.3089103776142902,17.24992344600643,0.7160482841741749,0.4438113245585949,1.5462232539766556,0.0571304993288669,0.0354098503414203,seed32,6
gated_contention_actor_seed33,seed33,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.4135757575757576,0.0111714715949328,0.0069241498309488,0.1496792181932144,0.0062058790766658,0.0038464437021059,2093.424383838384,25.91025796608,16.059344267325574,3000.0,0.0,0.0,0.0203400937596044,0.0007129645239477,0.0004418999901681,21.743725779811665,2.8590201476326054,1.772039046394658,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8745.4,608.8828020782544,377.3894706038665,4.271791364375077,0.2720508847838005,0.1686188853346474,19.77615292995776,0.7787157371545145,0.4826530143281534,1.5012617692569312,0.0424907552827904,0.0263360429741121,seed33,7
gated_contention_actor_adaptive,adaptive,isac_mappo,adaptive_gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.2934949494949494,0.0133080738866615,0.0082484296513253,0.2265031756837917,0.0082719804891685,0.0051270266248243,2397.843818181818,22.918350833232857,14.20494101417539,3000.0,0.0,0.0,0.0380518410303872,0.0017940426880774,0.0011119591783235,10.992504926426127,1.98538402407149,1.2305537670505886,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1463.7,157.62053588708972,97.69422028622438,1.0066960436774886,0.0898737979412286,0.0557043570789507,28.075114875453817,1.5552115901849373,0.9639301302214464,2.419822569506382,0.1178049196451159,0.0730162456677295,adaptive,8
gated_contention_actor_topology_v3,topology_v3,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,15.0,288,3000,900.0,900.0,10,10,1,0.3856767676767677,0.0122008048985618,0.0075621372222918,0.142480204200075,0.0075543313752022,0.004682223095681,2171.683494949495,23.10370433905639,14.31982430731252,3000.0,0.0,0.0,0.0206186256618237,0.0006988241760319,0.0004331357117292,18.104308024280023,2.5957239372525303,1.6088463644726447,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8476.1,691.0147851770853,428.2954011302634,4.441977322896824,0.3662647321072341,0.2270132328898514,20.06925377326441,0.7263240936363066,0.4501803372482351,1.5748058454609204,0.0492684666236765,0.0305369119855415,topology_v3,9
