label,display_name,metric,episodes,mean,std,ci95,min,max
trained_full,Trained full,discovery_rate,3,0.2957575757575758,0.023848653839795883,0.026987292359864055,0.2682828282828283,0.3111111111111111
trained_full,Trained full,collision_penalized_discovery_rate,3,0.22974139160980153,0.009951788262707224,0.01126150855948866,0.2182774490466798,0.23616009814445638
trained_full,Trained full,collision_count,3,1415.3333333333333,244.10312028594254,276.2286843259484,1134.0,1571.0
trained_full,Trained full,collisions_per_discovery_censored,3,0.961733462807839,0.09348072659280655,0.1057834004183014,0.8539156626506024,1.0201298701298702
trained_full,Trained full,empty_scan_ratio,3,0.06609199025147541,0.0011991798977750128,0.0013569998001028956,0.06471954155216122,0.06693733987580876
trained_full,Trained full,lambda2,3,10.779389732153113,1.6416202628972947,1.8576682053541589,9.213927315866792,12.487816708327665
trained_full,Trained full,energy_per_discovery_censored_j,3,0.6924065379949598,0.060714624584060115,0.06870506550081419,0.6542487012987015,0.7624192394578313
trained_full,Trained full,discoveries_per_joule,3,1.4513237268828159,0.12121144581259867,0.13716366330278446,1.311614330077919,1.5284707451691883
trained_full,Trained full,episode_return_mean_per_agent,3,-33.432528813680015,2.7335008726312204,3.093247430701676,-36.588844299316406,-31.837594985961914
random_weights_full,Random weights,discovery_rate,3,0.40538720538720535,0.016473423121909636,0.018641433136861906,0.38707070707070707,0.41898989898989897
random_weights_full,Random weights,collision_penalized_discovery_rate,3,0.15985738338663708,0.005738059771022446,0.006493225892714905,0.15611781896485427,0.16646394439617723
random_weights_full,Random weights,collision_count,3,7624.666666666667,927.8751712021037,1049.989600541093,6560.0,8261.0
random_weights_full,Random weights,collisions_per_discovery_censored,3,3.791306351218332,0.3183723568070634,0.3602722371739835,3.4237995824634657,3.9831243972999038
random_weights_full,Random weights,empty_scan_ratio,3,0.044696764756742065,0.0018672038865264488,0.002112940106375203,0.04254070794319034,0.04577861630520738
random_weights_full,Random weights,lambda2,3,18.71432606482528,3.9161880360822665,4.431583944985405,15.654214554823561,23.127664132351246
random_weights_full,Random weights,energy_per_discovery_censored_j,3,0.6822954177031354,0.03096584473155545,0.035041152031237484,0.6573338958534233,0.7169476774530271
random_weights_full,Random weights,discoveries_per_joule,3,1.4676187396775653,0.06538317732634188,0.0739880302584796,1.3948019241132388,1.5212968725759834
random_weights_full,Random weights,episode_return_mean_per_agent,3,-53.34271367390951,2.1323364666378817,2.4129658647118233,-55.7469482421875,-51.68059539794922
zero_weights_rule_only,Zero weights,discovery_rate,3,0.4264646464646465,0.00909764060541228,0.010294949494949489,0.415959595959596,0.4317171717171717
zero_weights_rule_only,Zero weights,collision_penalized_discovery_rate,3,0.1463690917331346,0.012136160693483817,0.013733358660890416,0.13731285741823557,0.16015868077162415
zero_weights_rule_only,Zero weights,collision_count,3,9552.333333333334,1445.4121672842432,1635.6378435881757,7906.0,10613.0
zero_weights_rule_only,Zero weights,collisions_per_discovery_censored,3,4.516689874562214,0.5967071876822151,0.6752377486539944,3.8397280233122877,4.966307908282639
zero_weights_rule_only,Zero weights,empty_scan_ratio,3,0.043802753151366336,0.0020418875278507636,0.002310613255164773,0.04144571509247494,0.04503209902505418
zero_weights_rule_only,Zero weights,lambda2,3,21.26147792700104,2.260576982500717,2.5580836695664955,19.551147029509984,23.824356600977204
zero_weights_rule_only,Zero weights,energy_per_discovery_censored_j,3,0.6599253899490836,0.016175626888734453,0.0183044449755027,0.6501111371080955,0.6785951918406994
zero_weights_rule_only,Zero weights,discoveries_per_joule,3,1.5159215577042224,0.03664081372524877,0.04146298398849465,1.4736326045686905,1.5381985370198752
zero_weights_rule_only,Zero weights,episode_return_mean_per_agent,3,-56.15797678629557,1.405520177309254,1.5904958073330586,-57.780792236328125,-55.32814407348633
trained_no_rule_residual,No rule residual,discovery_rate,3,0.25737373737373737,0.018702968767287508,0.021164401542779668,0.23595959595959595,0.2705050505050505
trained_no_rule_residual,No rule residual,collision_penalized_discovery_rate,3,0.23208024163519003,0.013944424963551067,0.015779602312545462,0.2163764357169322,0.24301270417422868
trained_no_rule_residual,No rule residual,collision_count,3,536.6666666666666,79.60736984308258,90.08421936042838,448.0,602.0
trained_no_rule_residual,No rule residual,collisions_per_discovery_censored,3,0.4198596249288614,0.03714358351805104,0.042031921567915666,0.3835616438356164,0.45779467680608366
trained_no_rule_residual,No rule residual,empty_scan_ratio,3,0.0947178970091263,0.002457842653535951,0.0027813107905836623,0.0919732194321692,0.09671557511225914
trained_no_rule_residual,No rule residual,lambda2,3,9.21381133571789,0.5260859084338065,0.595322248068209,8.617824976410411,9.613620907431974
trained_no_rule_residual,No rule residual,energy_per_discovery_censored_j,3,0.5924261401845152,0.045884804519712594,0.051923544312692076,0.5603470873786407,0.644984375
trained_no_rule_residual,No rule residual,discoveries_per_joule,3,1.694482407556349,0.12606298368065313,0.14265369522323007,1.5504251556481503,1.7846081875397966
trained_no_rule_residual,No rule residual,episode_return_mean_per_agent,3,-23.96651268005371,2.0337322289863526,2.3013846657351813,-26.2635440826416,-22.3951473236084
trained_no_candidate_mask,No candidate mask,discovery_rate,3,0.2997979797979798,0.01744991521077328,0.019746437958781154,0.2797979797979798,0.31191919191919193
trained_no_candidate_mask,No candidate mask,collision_penalized_discovery_rate,3,0.2826403041171332,0.014566404976028749,0.016483438954709193,0.26639738411232927,0.29454406714994275
trained_no_candidate_mask,No candidate mask,collision_count,3,299.3333333333333,54.3721742560782,61.5279073086171,249.0,357.0
trained_no_candidate_mask,No candidate mask,collisions_per_discovery_censored,3,0.2011027808519535,0.02921654331128675,0.03306163112530106,0.17978339350180506,0.23440577806959947
trained_no_candidate_mask,No candidate mask,empty_scan_ratio,3,0.817264183323315,0.0021274312586962193,0.002407415099385746,0.8148217460465986,0.818713083477079
trained_no_candidate_mask,No candidate mask,lambda2,3,12.781948232226648,3.738522976864946,4.230537004246572,8.53882367826845,15.59160538874266
trained_no_candidate_mask,No candidate mask,energy_per_discovery_censored_j,3,0.6839433078114794,0.04124870320432842,0.04667730180153431,0.6561479922279791,0.7313375451263538
trained_no_candidate_mask,No candidate mask,discoveries_per_joule,3,1.4655491620618504,0.08555445997134023,0.09681398536985963,1.3673576676925963,1.5240464222171226
trained_no_candidate_mask,No candidate mask,episode_return_mean_per_agent,3,-45.641099294026695,1.7394252362037366,1.9683449515806133,-47.62839889526367,-44.39529800415039
