access_gate_aggressive_count,access_gate_aggressive_ratio,access_gate_backoff_count,access_gate_backoff_ratio,access_gate_normal_count,access_gate_normal_ratio,access_gate_total,algorithm,approx_kl,beam_active_fraction,beam_policy_loss,beam_rank_aux_loss,clip_fraction,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,entropy,episode,episode_return_mean_per_agent,episode_return_sum,expert_bc_loss,gate_policy_loss,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,mobility_model,mode_policy_loss,moved_distance_mean_m,n_beams,n_nodes,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,policy_loss,protocol,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,step_reward_mean,step_reward_sum_mean,training_step,true_edges_seen,tx_actions,value_loss
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0002529244134202,0.9089999794960022,-0.0399806015193462,1.968469738960266,0.0,0,1.0,0.5111111111111111,0.0,1,23,12.651265126512651,2.906058500221113,0.0126512651265126,0.5111111111111111,656,0.3608360836083608,7.914499999999999,0.3441086956521739,3.1731932163238525,0,6.53760290145874,65.37603759765625,0.0,-4.529951525000797e-09,182,0.0,1.7288319175667115,10,1.0,158.2888888888889,0.8405450496462521,-2.728561233368145,gauss_markov,-0.00092989825783,7.855924590253029,105,10,200.0,200.0,200.0,805,-0.0249182600528001,wang2025_isac_tables,1013,1818,79.04347826086956,2026091701,2026091701,0,0.7784552845528455,0.0079051383399209,0.2215447154471544,6831,1476,200,0.0326880179345607,0.3268801569938659,200,45,805,3.795342206954956
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.000560535675846,0.9035000205039978,-0.0436078682541847,1.6799935698509216,0.0,0,1.0,0.6888888888888889,0.0,1,31,17.15550636413946,3.928899591267703,0.0171555063641394,0.6888888888888889,695,0.3846153846153846,7.890250000000001,0.2545241935483871,2.900079131126404,1,9.473462104797363,94.734619140625,0.0,1.4767050515729355e-07,193,0.0,4.038613852909063,10,1.0,134.57777777777778,0.8051827198851537,-1.83202979884552,gauss_markov,-0.0010909002749244,7.358107396587246,105,10,200.0,200.0,200.0,807,-0.027255586348474,wang2025_isac_tables,1000,1807,58.29032258064516,2026091702,2026091702,0,0.7741046831955923,0.0084145261293179,0.2258953168044077,6774,1452,200,0.0473673082888126,0.4736730456352234,400,45,807,6.948722839355469
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,-5.540089422728656e-05,0.9254999756813048,-0.022489758208394,1.7189884185791016,0.0,0,1.0,0.4666666666666667,0.0,1,21,11.3452188006483,2.5040989715307798,0.0113452188006482,0.4666666666666667,727,0.3927606699081578,8.38625,0.3993452380952381,2.933821439743042,2,5.821591854095459,58.21592330932617,0.0,1.1503697106007849e-08,149,0.0,0.4285526333523038,10,1.0,153.26666666666668,0.7633708269408898,-3.42318425212579,gauss_markov,-0.0002478411369954,7.875455001411547,105,10,200.0,200.0,200.0,932,-0.0137416939251124,wang2025_isac_tables,919,1851,88.14285714285714,2026091703,2026091703,0,0.7200870195794054,0.0090497737556561,0.2799129804205946,7956,1379,200,0.0291079618036746,0.2910796105861664,600,45,932,2.516030788421631
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0006226559504867,0.8949999809265137,-0.047779593616724,1.9163143634796145,0.0,0,1.0,0.6222222222222222,0.0,1,28,15.64245810055866,3.4219370608004884,0.0156424581005586,0.6222222222222222,657,0.3670391061452513,8.182500000000001,0.2922321428571429,3.1666568517684937,3,8.795469284057617,87.95469665527344,0.0,2.2947787670091202e-08,210,0.0,2.968497684009129,10,1.0,140.73333333333332,0.8419989683906247,-2.365275741697513,gauss_markov,-0.0003246341808704,8.212671261870188,105,10,200.0,200.0,200.0,920,-0.0289923856034874,wang2025_isac_tables,870,1790,63.92857142857143,2026091704,2026091704,0,0.7797281993204983,0.0079917504511472,0.2202718006795017,7758,1766,200,0.0439773499965667,0.4397734403610229,800,45,920,4.925259351730347
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0004633113739547,0.8815000057220459,-0.0561820715665817,1.6775713562965393,0.0,0,1.0,0.6,0.0,1,27,15.314804310833804,3.4393809114359417,0.0153148043108338,0.6,640,0.3630175836642087,7.85025,0.29075,2.9737294912338257,4,8.144472122192383,81.44471740722656,0.0,-3.3855437564511703e-08,237,0.0,0.9213962119459896,10,1.0,144.77777777777777,0.7993313878729862,-3.76386112799828,gauss_markov,-0.000929291248787,7.51661601651985,105,10,200.0,200.0,200.0,834,-0.0346385445445776,wang2025_isac_tables,929,1763,65.29629629629629,2026091705,2026091705,0,0.7591093117408907,0.007909604519774,0.2408906882591093,7080,1482,200,0.0407223589718341,0.4072236120700836,1000,45,834,3.2562875747680664
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0015161121748387,0.9024999737739564,-0.0366250406950712,1.7628362774848938,0.0,2,0.925925925925926,0.5319148936170213,0.08,1,25,13.850415512465371,3.16105579263474,0.0138504155124653,0.5555555555555556,664,0.3678670360110803,7.90875,0.31635,2.9954274892807007,5,7.60037088394165,76.00370788574219,0.0,4.291534239087014e-09,195,0.0,0.9060480330376248,10,1.0,149.9111111111111,0.8417132307236251,0.0808520876709767,gauss_markov,-0.000349870941136,6.543161813425998,105,10,200.0,200.0,200.0,815,-0.022324894554913,wang2025_isac_tables,990,1805,72.2,2026091706,2026091706,0,0.8209142141515341,0.0072961373390557,0.1790857858484658,6990,1597,200,0.0380018539726734,0.3800185322761535,1200,45,815,3.23251473903656
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0001503607776248,0.890999972820282,-0.0528188310563564,1.8379461765289309,0.0,0,1.0,0.5333333333333333,0.0,1,24,13.468013468013469,3.150639973744667,0.0134680134680134,0.5333333333333333,690,0.3872053872053872,7.6175,0.3173958333333333,3.0463300943374634,6,6.75937032699585,67.59369659423828,0.0,6.628036430811336e-08,218,0.0,0.9166278777183036,10,1.0,154.24444444444444,0.8019639786330972,-4.4093436024512025,gauss_markov,0.0001057671595496,7.126025243152829,105,10,200.0,200.0,200.0,739,-0.0315855164080858,wang2025_isac_tables,1043,1782,74.25,2026091707,2026091707,0,0.7375415282392026,0.0074687449261243,0.2624584717607973,6159,1204,200,0.0337968468666076,0.3379685282707214,1400,45,739,2.2034419775009155
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,9.888382203637748e-05,0.9194999933242798,-0.0186451254412531,2.077156782150269,0.0,0,1.0,0.3777777777777777,0.0,1,17,9.244154431756389,2.1926288975590884,0.0092441544317563,0.3777777777777777,668,0.3632408917890157,7.753249999999999,0.4560735294117646,3.265864610671997,7,4.48192310333252,44.81923675537109,0.0,1.645088221202684e-08,161,0.0,1.2836777068472405,10,1.0,171.0888888888889,0.8334218616107656,-2.858612021330685,gauss_markov,-1.3586938555576468e-05,8.415519871638809,105,10,200.0,200.0,200.0,732,-0.0112006589770317,wang2025_isac_tables,1107,1839,108.17647058823528,2026091708,2026091708,0,0.771613832853026,0.0090835360908353,0.228386167146974,6165,1388,200,0.0224096179008483,0.2240961492061615,1600,45,732,0.4538197219371795
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0002747453420888,0.8924999833106995,-0.0394855029881,1.9716437458992004,0.0,0,1.0,0.4666666666666667,0.0,1,21,11.76470588235294,2.8023352793995,0.0117647058823529,0.4666666666666667,712,0.3988795518207283,7.49375,0.3568452380952381,3.2094173431396484,8,6.024427890777588,60.24427795410156,0.0,-2.3722648734292303e-08,215,0.0,2.1094056125821177,10,1.0,159.3111111111111,0.833226237876717,-2.514846009361249,gauss_markov,-0.000164594352944,6.787541592187955,105,10,200.0,200.0,200.0,695,-0.0238559022545814,wang2025_isac_tables,1090,1785,85.0,2026091709,2026091709,0,0.7677655677655678,0.0090680100755667,0.2322344322344322,5955,1365,200,0.0301221385598182,0.3012214004993438,1800,45,695,1.438969910144806
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,5.269028089238681e-05,0.8949999809265137,-0.0419104639440774,1.970622956752777,0.0,2,0.92,0.4893617021276595,0.0869565217391304,1,23,12.849162011173185,3.0035912504080966,0.0128491620111731,0.5111111111111111,655,0.3659217877094972,7.6575,0.3329347826086956,3.218699336051941,9,6.863741874694824,68.63741302490234,0.0,-1.4066695808168106e-08,210,0.0,1.2075568460957544,10,1.0,153.0,0.8536336890801491,-0.5049094411651426,gauss_markov,-8.214998053146516e-05,7.404956917738879,105,10,200.0,200.0,200.0,745,-0.0252284333109855,wang2025_isac_tables,1045,1790,77.82608695652173,2026091710,2026091710,0,0.8007380073800738,0.0078394481028535,0.1992619926199262,6378,1355,200,0.034318707883358,0.3431870639324188,2000,45,745,1.2728425860404968
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,-0.0001061297472333,0.8924999833106995,-0.066461257636547,1.7374715209007263,0.0,0,1.0,0.5555555555555556,0.0,1,25,14.00560224089636,3.227576412871575,0.0140056022408963,0.5555555555555556,725,0.4061624649859944,7.745749999999999,0.30983,3.0186262130737305,10,7.284149169921875,72.84149169921875,0.0,1.4007091042600452e-08,215,0.0,1.862979936037605,10,1.0,148.86666666666667,0.7383039935345969,-1.91873452042046,gauss_markov,-7.855924713684459e-05,8.052106817906482,105,10,200.0,200.0,200.0,779,-0.0399553105235099,wang2025_isac_tables,1006,1785,71.4,2026091711,2026091711,0,0.7241379310344828,0.0094282238442822,0.2758620689655172,6576,1276,200,0.0364207476377487,0.3642074167728424,2200,45,779,2.370936632156372
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0001666608956875,0.8974999785423279,-0.0330443680286407,2.0746136903762817,0.0,0,1.0,0.5555555555555556,0.0,1,25,13.927576601671309,3.206258616820033,0.0139275766016713,0.5555555555555556,670,0.3732590529247911,7.79725,0.31189,3.3051671981811523,11,7.4342041015625,74.342041015625,0.0,-5.960464477539064e-08,205,0.0,2.542099171167653,10,1.0,160.2888888888889,0.9398733642975052,1.588907971030871,gauss_markov,-0.0002252871096146,7.40202496965856,105,10,200.0,200.0,200.0,787,-0.0200519226491451,wang2025_isac_tables,1008,1795,71.8,2026091712,2026091712,0,0.8778337531486146,0.0072819141031356,0.1221662468513853,6729,1588,200,0.0371710211038589,0.3717102408409118,2400,45,787,1.3625722527503967
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0005108899469488,0.8955000042915344,-0.0395533312112093,1.976685345172882,0.0,0,1.0,0.5777777777777777,0.0,1,26,14.517029592406477,3.348250217314317,0.0145170295924064,0.5777777777777777,684,0.3819095477386934,7.76525,0.2986634615384615,3.2097851037979126,12,7.666571140289307,76.66571044921875,0.0,-3.99351107738255e-09,209,0.0,1.9054581543710811,10,1.0,152.2888888888889,0.8845521959591836,-0.9596321074555124,gauss_markov,-0.0002604314731434,7.543590212621979,105,10,200.0,200.0,200.0,780,-0.0239924322813749,wang2025_isac_tables,1011,1791,68.88461538461539,2026091713,2026091713,0,0.8526785714285714,0.0072300045187528,0.1473214285714285,6639,1344,200,0.0383328534662723,0.3833285272121429,2600,45,780,1.453206717967987
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0003421779377385,0.8769999742507935,-0.0621108245104551,1.915274202823639,0.0,0,1.0,0.5777777777777777,0.0,1,26,14.823261117445838,3.4939192367130283,0.0148232611174458,0.5777777777777777,824,0.4697833523375142,7.4415,0.2862115384615384,3.1629955768585205,13,7.694882392883301,76.9488296508789,0.0,3.0994414812468563e-09,246,0.0,2.399231426447716,10,1.0,144.55555555555554,0.819638898098511,-3.160631739983822,gauss_markov,-3.741863358297515e-05,8.043133489212511,105,10,200.0,200.0,200.0,706,-0.0373039133846759,wang2025_isac_tables,1048,1754,67.46153846153847,2026091714,2026091714,0,0.7553299492385787,0.0092312856663309,0.2446700507614213,5958,985,200,0.0384744144976139,0.3847441375255584,2800,45,706,2.027392029762268
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0002433492315467,0.8865000009536743,-0.0612839441746473,2.1665672063827515,0.0,0,1.0,0.5777777777777777,0.0,1,26,14.664410603496895,3.544769760387198,0.0146644106034968,0.5777777777777777,758,0.4275239706711788,7.33475,0.2821057692307692,3.3662396669387817,14,7.677384376525879,76.77384948730469,0.0,2.503394824771021e-09,227,0.0,2.6838890698448514,10,1.0,147.9777777777778,0.8622231949810159,-1.2408674939720563,gauss_markov,-0.0010813296549021,6.740483798183549,105,10,200.0,200.0,200.0,653,-0.0378516968339681,wang2025_isac_tables,1120,1773,68.1923076923077,2026091715,2026091715,0,0.8132530120481928,0.0076965365585486,0.1867469879518072,5457,1162,200,0.0383869260549545,0.3838692903518677,3000,45,653,1.281281590461731
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,-4.536904310226131e-05,0.9014999866485596,-0.0469398759305477,1.936040461063385,0.0,2,0.9310344827586208,0.574468085106383,0.074074074074074,1,27,14.975041597337771,3.727608463051807,0.0149750415973377,0.6,929,0.5152523571824736,7.24325,0.2682685185185185,3.131910800933838,15,7.800724983215332,78.00724792480469,0.0,-2.1457672971791908e-08,197,0.0,2.169990672340562,10,1.0,142.64444444444445,0.7206200748199911,-4.724913287150221,gauss_markov,-6.910741014909405e-05,7.152899458385616,105,10,200.0,200.0,200.0,595,-0.0282330391928553,wang2025_isac_tables,1208,1803,66.77777777777777,2026091716,2026091716,0,0.6773127753303965,0.0091981603679264,0.3226872246696035,5001,908,200,0.0390036255121231,0.3900362849235534,3200,45,595,1.1880983710289
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0004327358605805,0.9350000023841858,-0.0223832922056317,1.7560919523239136,0.0,0,1.0,0.4,0.0,1,18,9.625668449197862,2.3716977402990977,0.0096256684491978,0.4,788,0.4213903743315508,7.589499999999999,0.4216388888888888,2.941365361213684,16,4.26076078414917,42.60760498046875,0.0,8.9168551653529e-08,130,0.0,0.8434852398665473,10,1.0,169.0,0.7391490720278401,-4.430007205252109,gauss_markov,-0.0003728011879147,7.024047720987132,105,10,200.0,200.0,200.0,649,-0.0138027546927332,wang2025_isac_tables,1221,1870,103.88888888888889,2026091717,2026091717,0,0.6775210084033614,0.0083845723868082,0.3224789915966387,5367,952,200,0.0213038027286529,0.2130379825830459,3400,45,649,0.9451793730258942
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.000285081826616,0.9334999918937684,-0.0242660595104098,1.9847020506858823,0.0,0,1.0,0.5333333333333333,0.0,1,24,12.854847348687734,3.0994737351887123,0.0128548473486877,0.5333333333333333,804,0.4306373861810391,7.743250000000001,0.3226354166666667,3.1445295810699463,17,6.542454719543457,65.4245376586914,0.0,1.00135799652179e-08,133,0.0,1.7692507953000594,10,1.0,156.64444444444445,0.8521976500802572,-3.084674738429541,gauss_markov,-0.0002404520529091,7.957703054801298,105,10,200.0,200.0,200.0,703,-0.0148000861518085,wang2025_isac_tables,1164,1867,77.79166666666667,2026091718,2026091718,0,0.7821782178217822,0.0082952429321144,0.2178217821782178,5907,1010,200,0.0327122695744037,0.327122688293457,3600,45,703,1.048209547996521
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0004041673548054,0.9120000004768372,-0.0486205108463764,1.8587461113929749,0.0,0,1.0,0.6666666666666666,0.0,1,30,16.44736842105263,3.874967708602429,0.0164473684210526,0.6666666666666666,688,0.3771929824561403,7.741999999999999,0.2580666666666666,3.0694572925567627,18,9.345474243164062,93.45474243164062,0.0,-1.1801719601578498e-08,176,0.0,3.5426341446824603,10,1.0,141.82222222222222,0.8892987117129927,0.6817716344711977,gauss_markov,-2.150106379117389e-05,8.505996459678244,105,10,200.0,200.0,200.0,742,-0.0291938111186027,wang2025_isac_tables,1082,1824,60.8,2026091719,2026091719,0,0.8375241779497099,0.0081415374980429,0.1624758220502901,6387,1551,200,0.0467273704707622,0.4672737121582031,3800,45,742,1.345306217670441
